experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
base,base,0,1000,galia,19,5,11,1281
base,base,0,1001,galia,19,5,11,1281
base,base,0,1002,galia,200,366,10,0
base,base,0,1003,galia,200,366,10,0
base,base,0,1004,galia,200,366,10,0
base,base,0,1005,galia,200,366,10,0
base,base,0,1006,grecia,22,6,12,0
base,base,0,1007,grecia,21,6,12,0
base,base,0,1008,galia,200,366,10,0
base,base,0,1009,galia,19,5,11,1281
base,base,0,1010,grecia,21,8,11,0
base,base,0,1011,galia,200,366,10,0
base,base,0,1012,grecia,21,8,11,0
base,base,0,1013,galia,19,5,11,1281
base,base,0,1014,galia,19,5,11,1281
base,base,0,1015,galia,200,366,10,0
base,base,0,1016,galia,200,366,10,0
base,base,0,1017,galia,19,5,11,1281
base,base,0,1018,galia,200,358,9,0
base,base,0,1019,galia,19,5,11,1281
base,base,0,1020,galia,19,5,11,1281
base,base,0,1021,galia,200,366,10,0
base,base,0,1022,galia,19,5,11,1281
base,base,0,1023,galia,200,366,10,0
base,base,0,1024,grecia,21,6,12,0
base,base,0,1025,galia,19,5,11,1281
base,base,0,1026,grecia,21,8,11,0
base,base,0,1027,galia,19,5,11,1281
base,base,0,1028,galia,19,5,11,1281
base,base,0,1029,galia,19,5,11,1281
base,base,0,1030,galia,200,366,10,0
base,base,0,1031,galia,19,5,11,1281
base,base,0,1032,galia,200,366,10,0
base,base,0,1033,galia,19,5,11,1281
base,base,0,1034,galia,200,366,10,0
base,base,0,1035,galia,19,5,11,1281
base,base,0,1036,galia,19,5,11,1281
base,base,0,1037,galia,200,366,10,0
base,base,0,1038,galia,200,366,10,0
base,base,0,1039,galia,19,5,11,1281
base,base,0,1040,galia,19,5,11,1281
base,base,0,1041,galia,19,5,11,1281
base,base,0,1042,galia,19,5,11,1281
base,base,0,1043,galia,200,366,10,0
base,base,0,1044,galia,19,5,11,1281
base,base,0,1045,galia,19,5,11,1281
base,base,0,1046,galia,200,366,10,0
base,base,0,1047,galia,19,5,11,1281
base,base,0,1048,galia,19,5,11,1281
base,base,0,1049,galia,200,366,10,0
base,base,0,1050,grecia,22,6,12,0
base,base,0,1051,galia,19,5,11,1281
base,base,0,1052,grecia,21,8,11,0
base,base,0,1053,galia,19,5,11,1281
base,base,0,1054,galia,200,366,10,0
base,base,0,1055,galia,200,366,10,0
base,base,0,1056,galia,200,358,9,0
base,base,0,1057,galia,200,366,10,0
base,base,0,1058,galia,19,5,11,1281
base,base,0,1059,galia,200,366,10,0
base,base,0,1060,galia,200,366,10,0
base,base,0,1061,galia,200,366,10,0
base,base,0,1062,galia,19,5,11,1281
base,base,0,1063,galia,19,5,11,1281
base,base,0,1064,galia,19,5,11,1281
base,base,0,1065,galia,200,366,10,0
base,base,0,1066,grecia,21,8,11,0
base,base,0,1067,galia,200,366,10,0
base,base,0,1068,galia,200,366,10,0
base,base,0,1069,grecia,21,6,12,0
base,base,0,1070,galia,19,5,11,1281
base,base,0,1071,galia,19,5,11,1281
base,base,0,1072,galia,19,5,11,1281
base,base,0,1073,galia,200,366,10,0
base,base,0,1074,galia,200,366,10,0
base,base,0,1075,galia,200,366,10,0
base,base,0,1076,galia,200,366,10,0
base,base,0,1077,galia,200,366,10,0
base,base,0,1078,galia,200,366,10,0
base,base,0,1079,galia,200,358,9,0
base,base,0,1080,galia,200,366,10,0
base,base,0,1081,galia,200,366,10,0
base,base,0,1082,galia,19,5,11,1281
base,base,0,1083,galia,200,366,10,0
base,base,0,1084,galia,19,5,11,1281
base,base,0,1085,galia,19,5,11,1281
base,base,0,1086,galia,19,5,11,1281
base,base,0,1087,galia,200,366,10,0
base,base,0,1088,galia,19,5,11,1281
base,base,0,1089,galia,19,5,11,1281
base,base,0,1090,galia,200,366,10,0
base,base,0,1091,galia,19,5,11,1281
base,base,0,1092,galia,200,366,10,0
base,base,0,1093,galia,200,366,10,0
base,base,0,1094,grecia,22,6,12,0
base,base,0,1095,galia,200,366,10,0
base,base,0,1096,grecia,21,8,11,0
base,base,0,1097,galia,19,5,11,1281
base,base,0,1098,galia,200,366,10,0
base,base,0,1099,grecia,22,6,12,0
