experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
crecimiento,gL,0.005,1000,galia,19,5,11,1235
crecimiento,gL,0.005,1001,galia,19,5,11,1235
crecimiento,gL,0.005,1002,galia,200,366,10,0
crecimiento,gL,0.005,1003,grecia,22,6,12,0
crecimiento,gL,0.005,1004,grecia,22,6,12,0
crecimiento,gL,0.005,1005,galia,200,366,10,0
crecimiento,gL,0.005,1006,galia,19,5,11,1235
crecimiento,gL,0.005,1007,galia,19,5,11,1235
crecimiento,gL,0.005,1008,grecia,22,6,12,0
crecimiento,gL,0.005,1009,galia,19,5,11,1235
crecimiento,gL,0.005,1010,galia,19,5,11,1235
crecimiento,gL,0.005,1011,galia,200,366,10,0
crecimiento,gL,0.005,1012,galia,19,6,11,1235
crecimiento,gL,0.005,1013,galia,19,5,11,1235
crecimiento,gL,0.005,1014,galia,19,6,11,1235
crecimiento,gL,0.005,1015,galia,200,366,10,0
crecimiento,gL,0.005,1016,galia,200,366,10,0
crecimiento,gL,0.005,1017,galia,19,5,11,1235
crecimiento,gL,0.005,1018,galia,19,5,11,1235
crecimiento,gL,0.005,1019,galia,19,5,11,1235
crecimiento,gL,0.005,1020,galia,19,5,11,1235
crecimiento,gL,0.005,1021,galia,200,366,10,0
crecimiento,gL,0.005,1022,galia,19,5,11,1235
crecimiento,gL,0.005,1023,galia,200,366,10,0
crecimiento,gL,0.005,1024,galia,19,5,11,1235
crecimiento,gL,0.005,1025,galia,19,5,11,1235
crecimiento,gL,0.005,1026,galia,19,6,11,1235
crecimiento,gL,0.005,1027,galia,19,5,11,1235
crecimiento,gL,0.005,1028,galia,19,6,11,1235
crecimiento,gL,0.005,1029,galia,19,5,11,1235
crecimiento,gL,0.005,1030,galia,200,366,10,0
crecimiento,gL,0.005,1031,galia,19,5,11,1235
crecimiento,gL,0.005,1032,grecia,22,6,12,0
crecimiento,gL,0.005,1033,galia,19,5,11,1235
crecimiento,gL,0.005,1034,galia,200,366,10,0
crecimiento,gL,0.005,1035,galia,19,5,11,1235
crecimiento,gL,0.005,1036,galia,19,5,11,1235
crecimiento,gL,0.005,1037,galia,200,366,10,0
crecimiento,gL,0.005,1038,grecia,22,6,12,0
crecimiento,gL,0.005,1039,galia,19,5,11,1235
crecimiento,gL,0.005,1040,galia,19,5,11,1235
crecimiento,gL,0.005,1041,galia,19,5,11,1235
crecimiento,gL,0.005,1042,galia,19,6,11,1235
crecimiento,gL,0.005,1043,galia,200,366,10,0
crecimiento,gL,0.005,1044,galia,19,6,11,1235
crecimiento,gL,0.005,1045,galia,19,6,11,1235
crecimiento,gL,0.005,1046,galia,19,5,11,1235
crecimiento,gL,0.005,1047,galia,19,5,11,1235
crecimiento,gL,0.005,1048,galia,19,5,11,1235
crecimiento,gL,0.005,1049,grecia,22,6,12,0
crecimiento,gL,0.005,1050,galia,19,5,11,1235
crecimiento,gL,0.005,1051,galia,19,5,11,1235
crecimiento,gL,0.005,1052,grecia,21,8,11,309
crecimiento,gL,0.005,1053,galia,19,5,11,1235
crecimiento,gL,0.005,1054,grecia,22,6,12,0
crecimiento,gL,0.005,1055,galia,200,366,10,0
crecimiento,gL,0.005,1056,galia,19,6,11,1235
crecimiento,gL,0.005,1057,galia,19,5,11,1235
crecimiento,gL,0.005,1058,galia,19,5,11,1235
crecimiento,gL,0.005,1059,galia,200,366,10,0
crecimiento,gL,0.005,1060,grecia,22,6,12,0
crecimiento,gL,0.005,1061,galia,200,366,10,0
crecimiento,gL,0.005,1062,galia,19,5,11,1235
crecimiento,gL,0.005,1063,galia,19,5,11,1235
crecimiento,gL,0.005,1064,galia,19,5,11,1235
crecimiento,gL,0.005,1065,grecia,22,6,12,0
crecimiento,gL,0.005,1066,galia,19,5,11,1235
crecimiento,gL,0.005,1067,grecia,22,6,12,0
crecimiento,gL,0.005,1068,grecia,22,6,12,0
crecimiento,gL,0.005,1069,galia,19,5,11,1235
crecimiento,gL,0.005,1070,galia,19,5,11,1235
crecimiento,gL,0.005,1071,galia,19,6,11,1235
crecimiento,gL,0.005,1072,galia,19,5,11,1235
crecimiento,gL,0.005,1073,grecia,22,6,12,0
crecimiento,gL,0.005,1074,grecia,22,6,12,0
crecimiento,gL,0.005,1075,galia,200,366,10,0
crecimiento,gL,0.005,1076,galia,200,366,10,0
crecimiento,gL,0.005,1077,grecia,22,6,12,0
crecimiento,gL,0.005,1078,grecia,22,6,12,0
crecimiento,gL,0.005,1079,galia,200,358,10,0
crecimiento,gL,0.005,1080,galia,19,5,11,1235
crecimiento,gL,0.005,1081,galia,200,366,10,0
crecimiento,gL,0.005,1082,galia,19,5,11,1235
crecimiento,gL,0.005,1083,grecia,22,6,12,0
crecimiento,gL,0.005,1084,galia,19,5,11,1235
crecimiento,gL,0.005,1085,galia,19,6,11,1235
