experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
desgaste,kBeta,0.3,1000,galia,19,6,11,1281
desgaste,kBeta,0.3,1001,galia,200,358,10,0
desgaste,kBeta,0.3,1002,galia,200,358,10,0
desgaste,kBeta,0.3,1003,galia,19,6,11,1281
desgaste,kBeta,0.3,1004,galia,19,6,11,1281
desgaste,kBeta,0.3,1005,galia,200,358,10,0
desgaste,kBeta,0.3,1006,galia,200,358,10,0
desgaste,kBeta,0.3,1007,galia,200,358,10,0
desgaste,kBeta,0.3,1008,galia,200,358,10,0
desgaste,kBeta,0.3,1009,galia,200,358,10,0
desgaste,kBeta,0.3,1010,galia,19,6,11,1281
desgaste,kBeta,0.3,1011,galia,200,358,10,0
desgaste,kBeta,0.3,1012,galia,19,6,11,1281
desgaste,kBeta,0.3,1013,galia,200,358,10,0
desgaste,kBeta,0.3,1014,galia,19,6,11,1281
desgaste,kBeta,0.3,1015,galia,200,358,10,0
desgaste,kBeta,0.3,1016,galia,200,358,10,0
desgaste,kBeta,0.3,1017,galia,200,358,10,0
desgaste,kBeta,0.3,1018,galia,200,358,10,0
desgaste,kBeta,0.3,1019,galia,19,6,11,1281
desgaste,kBeta,0.3,1020,galia,200,358,10,0
desgaste,kBeta,0.3,1021,galia,200,358,9,0
desgaste,kBeta,0.3,1022,galia,200,358,10,0
desgaste,kBeta,0.3,1023,galia,19,6,11,1281
desgaste,kBeta,0.3,1024,galia,200,358,10,0
desgaste,kBeta,0.3,1025,galia,19,6,11,1281
desgaste,kBeta,0.3,1026,galia,200,358,10,0
desgaste,kBeta,0.3,1027,galia,200,358,10,0
desgaste,kBeta,0.3,1028,galia,19,6,11,1281
desgaste,kBeta,0.3,1029,galia,200,358,10,0
desgaste,kBeta,0.3,1030,galia,200,358,10,0
desgaste,kBeta,0.3,1031,galia,200,358,10,0
desgaste,kBeta,0.3,1032,galia,19,6,11,1281
desgaste,kBeta,0.3,1033,galia,19,6,11,1281
desgaste,kBeta,0.3,1034,galia,200,358,10,0
desgaste,kBeta,0.3,1035,galia,200,358,10,0
desgaste,kBeta,0.3,1036,galia,19,6,11,1281
desgaste,kBeta,0.3,1037,galia,200,358,10,0
desgaste,kBeta,0.3,1038,galia,200,358,10,0
desgaste,kBeta,0.3,1039,galia,200,358,9,0
desgaste,kBeta,0.3,1040,galia,200,358,10,0
desgaste,kBeta,0.3,1041,galia,200,358,10,0
desgaste,kBeta,0.3,1042,galia,19,6,11,1281
desgaste,kBeta,0.3,1043,galia,200,358,10,0
desgaste,kBeta,0.3,1044,galia,200,358,10,0
desgaste,kBeta,0.3,1045,galia,19,6,11,1281
desgaste,kBeta,0.3,1046,galia,200,358,10,0
desgaste,kBeta,0.3,1047,galia,200,358,10,0
desgaste,kBeta,0.3,1048,galia,200,358,9,0
desgaste,kBeta,0.3,1049,galia,19,6,11,1281
desgaste,kBeta,0.3,1050,galia,200,358,10,0
desgaste,kBeta,0.3,1051,grecia,23,7,13,0
desgaste,kBeta,0.3,1052,galia,200,358,10,0
desgaste,kBeta,0.3,1053,galia,200,358,10,0
desgaste,kBeta,0.3,1054,galia,19,6,11,1281
desgaste,kBeta,0.3,1055,galia,200,358,10,0
desgaste,kBeta,0.3,1056,galia,200,358,10,0
desgaste,kBeta,0.3,1057,galia,200,358,10,0
desgaste,kBeta,0.3,1058,galia,19,6,11,1281
desgaste,kBeta,0.3,1059,galia,200,358,10,0
desgaste,kBeta,0.3,1060,galia,19,6,11,1281
desgaste,kBeta,0.3,1061,galia,200,358,9,0
