experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
fortificacion,betaF,0,1000,grecia,19,4,11,1149
fortificacion,betaF,0,1001,grecia,19,4,11,1146
fortificacion,betaF,0,1002,galia,200,366,9,0
fortificacion,betaF,0,1003,grecia,19,4,11,1154
fortificacion,betaF,0,1004,galia,200,366,9,0
fortificacion,betaF,0,1005,galia,200,366,9,0
fortificacion,betaF,0,1006,grecia,19,4,11,1149
fortificacion,betaF,0,1007,galia,200,367,10,0
fortificacion,betaF,0,1008,grecia,19,4,11,1176
fortificacion,betaF,0,1009,galia,200,367,10,0
fortificacion,betaF,0,1010,galia,200,367,10,0
fortificacion,betaF,0,1011,galia,200,367,10,0
fortificacion,betaF,0,1012,grecia,19,3,11,1175
fortificacion,betaF,0,1013,grecia,19,3,11,1121
fortificacion,betaF,0,1014,galia,200,366,9,0
fortificacion,betaF,0,1015,galia,200,366,9,0
fortificacion,betaF,0,1016,grecia,200,548,10,0
fortificacion,betaF,0,1017,galia,200,366,9,0
fortificacion,betaF,0,1018,galia,200,366,9,0
fortificacion,betaF,0,1019,galia,200,366,9,0
fortificacion,betaF,0,1020,grecia,19,4,11,1152
fortificacion,betaF,0,1021,galia,200,367,10,0
fortificacion,betaF,0,1022,grecia,19,4,11,1141
fortificacion,betaF,0,1023,grecia,19,3,11,1149
fortificacion,betaF,0,1024,grecia,19,3,11,1134
fortificacion,betaF,0,1025,grecia,19,3,11,1127
fortificacion,betaF,0,1026,grecia,19,3,11,1174
fortificacion,betaF,0,1027,grecia,19,4,11,1155
fortificacion,betaF,0,1028,galia,200,366,9,0
fortificacion,betaF,0,1029,grecia,19,4,11,1149
fortificacion,betaF,0,1030,galia,200,366,9,0
fortificacion,betaF,0,1031,grecia,19,4,11,1151
fortificacion,betaF,0,1032,galia,200,367,10,0
fortificacion,betaF,0,1033,galia,200,366,9,0
fortificacion,betaF,0,1034,galia,200,367,10,0
fortificacion,betaF,0,1035,grecia,19,3,11,1135
fortificacion,betaF,0,1036,galia,200,367,10,0
fortificacion,betaF,0,1037,galia,200,366,9,0
fortificacion,betaF,0,1038,galia,200,367,10,0
fortificacion,betaF,0,1039,galia,200,367,10,0
fortificacion,betaF,0,1040,grecia,19,4,11,1138
fortificacion,betaF,0,1041,grecia,19,4,11,1182
fortificacion,betaF,0,1042,galia,200,367,10,0
fortificacion,betaF,0,1043,galia,200,366,9,0
fortificacion,betaF,0,1044,galia,200,366,9,0
fortificacion,betaF,0,1045,grecia,19,4,11,1152
fortificacion,betaF,0,1046,galia,200,366,9,0
fortificacion,betaF,0,1047,galia,200,366,9,0
fortificacion,betaF,0,1048,grecia,19,4,11,1175
fortificacion,betaF,0,1049,galia,200,366,9,0
