parametro,valor,semilla,ganador,estrategia,turno_final,cuota_final,combates,bajas,turno_inflexion,eventos,cancelados,aleatorios,ganador_guerra_continua
k_bajas,0.3,20260805,cimeria,ECONÓMICA,200,0.5000,15,615.60,22,1242,15,30,0
k_bajas,0.3,20260806,cimeria,ECONÓMICA,33,0.6667,12,441.68,20,404,17,24,0
k_bajas,0.3,20260807,cimeria,ECONÓMICA,20,0.6250,13,482.55,18,290,8,26,0
k_bajas,0.3,20260808,cimeria,ECONÓMICA,200,0.5000,18,683.27,22,1251,15,36,0
k_bajas,0.3,20260809,cimeria,ECONÓMICA,200,0.5000,18,676.58,22,1251,15,36,0
k_bajas,0.3,20260810,cimeria,ECONÓMICA,200,0.5833,12,441.77,17,1223,16,24,0
k_bajas,0.3,20260811,cimeria,ECONÓMICA,200,0.5833,12,449.20,17,1225,15,24,0
k_bajas,0.3,20260812,cimeria,ECONÓMICA,200,0.5000,15,613.79,22,1242,15,30,0
k_bajas,0.3,20260813,cimeria,ECONÓMICA,200,0.5833,12,443.62,17,1223,16,24,0
k_bajas,0.3,20260814,cimeria,ECONÓMICA,20,0.6250,13,482.61,18,291,8,26,0
k_bajas,0.3,20260815,cimeria,ECONÓMICA,200,0.5833,12,443.04,17,1222,16,24,0
k_bajas,0.3,20260816,cimeria,ECONÓMICA,200,0.5000,18,671.47,22,1251,15,36,0
k_bajas,0.3,20260817,cimeria,ECONÓMICA,34,0.6250,13,423.01,20,402,13,26,0
k_bajas,0.3,20260818,cimeria,ECONÓMICA,200,0.5833,12,445.64,17,1227,15,24,0
k_bajas,0.3,20260819,cimeria,ECONÓMICA,200,0.5000,18,686.02,22,1251,15,36,0
k_bajas,0.3,20260820,cimeria,ECONÓMICA,200,0.5000,15,618.95,22,1242,15,30,0
k_bajas,0.3,20260821,cimeria,ECONÓMICA,20,0.6250,13,484.38,18,291,8,26,0
k_bajas,0.3,20260822,cimeria,ECONÓMICA,200,0.5833,12,445.90,17,1225,15,24,0
k_bajas,0.3,20260823,cimeria,ECONÓMICA,200,0.5000,18,681.99,22,1252,14,36,0
k_bajas,0.3,20260824,cimeria,ECONÓMICA,200,0.5833,12,443.42,17,1223,16,24,0
k_bajas,0.3,20260825,cimeria,ECONÓMICA,200,0.5833,12,444.41,17,1223,16,24,0
k_bajas,0.3,20260826,cimeria,ECONÓMICA,20,0.6250,13,484.28,18,295,7,26,0
k_bajas,0.3,20260827,cimeria,ECONÓMICA,200,0.5000,15,616.97,22,1242,15,30,0
k_bajas,0.3,20260828,cimeria,ECONÓMICA,20,0.6250,13,483.23,18,289,9,26,0
k_bajas,0.3,20260829,cimeria,ECONÓMICA,200,0.5833,12,448.11,17,1223,16,24,0
k_bajas,0.3,20260830,cimeria,ECONÓMICA,200,0.5000,18,679.08,22,1251,15,36,0
k_bajas,0.3,20260831,cimeria,ECONÓMICA,200,0.5000,15,612.99,22,1242,15,30,0
k_bajas,0.3,20260832,cimeria,ECONÓMICA,200,0.5833,12,445.25,17,1221,17,24,0
k_bajas,0.3,20260833,cimeria,ECONÓMICA,20,0.6250,13,482.89,18,293,7,26,0
k_bajas,0.3,20260834,cimeria,ECONÓMICA,200,0.5000,18,677.55,22,1251,15,36,0
k_bajas,0.5,20260805,cimeria,ECONÓMICA,200,0.5000,15,727.35,21,1437,10,30,0
k_bajas,0.5,20260806,cimeria,ECONÓMICA,200,0.5833,12,482.37,17,1223,16,24,0
k_bajas,0.5,20260807,cimeria,ECONÓMICA,20,0.6250,13,520.17,18,289,9,26,0
k_bajas,0.5,20260808,cimeria,ECONÓMICA,200,0.5000,15,692.98,21,1448,15,30,0
k_bajas,0.5,20260809,cimeria,ECONÓMICA,200,0.5000,15,712.67,22,1242,15,30,0
k_bajas,0.5,20260810,cimeria,ECONÓMICA,33,0.6667,12,483.29,20,404,17,24,0
k_bajas,0.5,20260811,cimeria,ECONÓMICA,33,0.6667,12,496.43,20,404,17,24,0
k_bajas,0.5,20260812,cimeria,ECONÓMICA,200,0.5000,15,714.60,22,1242,15,30,0
k_bajas,0.5,20260813,cimeria,ECONÓMICA,200,0.5833,12,485.58,17,1223,16,24,0
k_bajas,0.5,20260814,cimeria,ECONÓMICA,20,0.6250,13,520.47,18,291,8,26,0
k_bajas,0.5,20260815,cimeria,ECONÓMICA,33,0.6667,12,486.45,20,404,17,24,0
k_bajas,0.5,20260816,cimeria,ECONÓMICA,200,0.5000,15,701.82,22,1242,15,30,0
k_bajas,0.5,20260817,cimeria,ECONÓMICA,34,0.6250,13,452.66,20,402,13,26,0
k_bajas,0.5,20260818,cimeria,ECONÓMICA,200,0.5833,12,489.18,17,1223,16,24,0
