parametro,valor,semilla,ganador,estrategia,turno_final,cuota_final,combates,bajas,turno_inflexion,eventos,cancelados,aleatorios,ganador_guerra_continua
base,0.0,20260805,cimeria,ECONÓMICA,200,0.5000,15,779.29,21,1448,14,30,0
base,0.0,20260806,cimeria,ECONÓMICA,200,0.5833,12,516.78,17,1221,17,24,0
base,0.0,20260807,cimeria,ECONÓMICA,34,0.6250,14,578.82,20,409,12,28,0
base,0.0,20260808,cimeria,ECONÓMICA,200,0.5000,18,801.71,21,1412,16,36,0
base,0.0,20260809,cimeria,ECONÓMICA,200,0.5000,15,780.40,21,1448,14,30,0
base,0.0,20260810,cimeria,ECONÓMICA,33,0.6667,13,608.04,20,405,17,26,0
base,0.0,20260811,cimeria,ECONÓMICA,34,0.6250,14,577.33,20,409,12,28,0
base,0.0,20260812,cimeria,ECONÓMICA,200,0.5000,15,780.78,21,1448,14,30,0
base,0.0,20260813,cimeria,ECONÓMICA,34,0.6250,12,460.59,20,407,12,24,0
base,0.0,20260814,cimeria,ECONÓMICA,33,0.6667,13,613.94,20,405,17,26,0
base,0.0,20260815,cimeria,ECONÓMICA,34,0.6250,12,464.29,20,407,12,24,0
base,0.0,20260816,cimeria,ECONÓMICA,200,0.5417,19,868.66,23,1248,13,38,0
base,0.0,20260817,cimeria,ECONÓMICA,34,0.6250,14,597.88,20,407,12,28,0
base,0.0,20260818,cimeria,ECONÓMICA,38,0.6667,16,740.73,20,442,14,32,0
base,0.0,20260819,cimeria,ECONÓMICA,200,0.5417,16,715.40,23,1227,12,32,0
base,0.0,20260820,cimeria,ECONÓMICA,200,0.5417,15,785.46,24,1608,14,30,0
base,0.0,20260821,cimeria,ECONÓMICA,38,0.6667,16,740.05,20,442,14,32,0
base,0.0,20260822,cimeria,ECONÓMICA,33,0.6667,13,611.66,20,405,17,26,0
base,0.0,20260823,cimeria,ECONÓMICA,200,0.5417,16,796.76,25,1591,11,32,0
base,0.0,20260824,cimeria,ECONÓMICA,37,0.6667,16,744.92,20,442,11,32,0
base,0.0,20260825,cimeria,ECONÓMICA,37,0.6667,16,740.76,20,442,11,32,0
base,0.0,20260826,cimeria,ECONÓMICA,34,0.6250,14,584.57,20,407,12,28,0
base,0.0,20260827,cimeria,ECONÓMICA,200,0.5417,19,786.45,26,1414,7,38,0
base,0.0,20260828,cimeria,ECONÓMICA,33,0.6667,13,611.72,20,405,16,26,0
base,0.0,20260829,cimeria,ECONÓMICA,34,0.6250,14,557.85,20,407,12,28,0
base,0.0,20260830,cimeria,ECONÓMICA,200,0.5417,22,884.50,23,1444,11,44,0
base,0.0,20260831,cimeria,ECONÓMICA,200,0.5000,24,889.60,21,1249,11,48,0
base,0.0,20260832,cimeria,ECONÓMICA,34,0.6250,14,587.75,20,409,12,28,0
base,0.0,20260833,cimeria,ECONÓMICA,33,0.6667,13,619.53,20,405,17,26,0
base,0.0,20260834,cimeria,ECONÓMICA,200,0.5000,16,808.21,23,1416,12,32,0
base,0.0,20260835,cimeria,ECONÓMICA,200,0.5417,20,882.14,60,1430,13,40,0
base,0.0,20260836,cimeria,ECONÓMICA,200,0.5833,12,516.58,17,1223,16,24,0
base,0.0,20260837,cimeria,ECONÓMICA,200,0.5833,12,523.93,17,1223,15,24,0
base,0.0,20260838,cimeria,ECONÓMICA,200,0.5000,15,775.11,21,1448,14,30,0
base,0.0,20260839,cimeria,ECONÓMICA,38,0.6667,16,738.13,20,442,14,32,0
base,0.0,20260840,cimeria,ECONÓMICA,34,0.6250,14,604.34,20,409,12,28,0
base,0.0,20260841,cimeria,ECONÓMICA,34,0.6250,12,466.04,20,407,12,24,0
base,0.0,20260842,cimeria,ECONÓMICA,200,0.5000,15,777.67,22,1397,12,30,0
base,0.0,20260843,cimeria,ECONÓMICA,34,0.6250,14,595.37,20,407,12,28,0
base,0.0,20260844,cimeria,ECONÓMICA,38,0.6667,16,737.76,20,442,14,32,0
