experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
sensibilidad_fiscal,etaTheta,0.02,1000,grecia,38,8,11,1621
sensibilidad_fiscal,etaTheta,0.02,1001,grecia,37,8,12,1582
sensibilidad_fiscal,etaTheta,0.02,1002,grecia,200,478,10,0
sensibilidad_fiscal,etaTheta,0.02,1003,grecia,36,9,12,1818
sensibilidad_fiscal,etaTheta,0.02,1004,galia,34,7,12,2055
sensibilidad_fiscal,etaTheta,0.02,1005,grecia,200,478,10,0
sensibilidad_fiscal,etaTheta,0.02,1006,grecia,200,26,9,3101
sensibilidad_fiscal,etaTheta,0.02,1007,grecia,36,10,12,1799
sensibilidad_fiscal,etaTheta,0.02,1008,grecia,36,7,12,1375
sensibilidad_fiscal,etaTheta,0.02,1009,grecia,36,9,12,1801
sensibilidad_fiscal,etaTheta,0.02,1010,grecia,50,8,11,1302
sensibilidad_fiscal,etaTheta,0.02,1011,grecia,33,7,12,1519
sensibilidad_fiscal,etaTheta,0.02,1012,grecia,38,8,11,1592
sensibilidad_fiscal,etaTheta,0.02,1013,grecia,35,9,12,1492
sensibilidad_fiscal,etaTheta,0.02,1014,grecia,35,9,12,1455
sensibilidad_fiscal,etaTheta,0.02,1015,grecia,36,12,12,1509
sensibilidad_fiscal,etaTheta,0.02,1016,grecia,200,480,10,0
sensibilidad_fiscal,etaTheta,0.02,1017,galia,43,6,11,1954
sensibilidad_fiscal,etaTheta,0.02,1018,grecia,36,11,12,1536
sensibilidad_fiscal,etaTheta,0.02,1019,grecia,35,8,12,1617
sensibilidad_fiscal,etaTheta,0.02,1020,galia,200,7,9,3657
sensibilidad_fiscal,etaTheta,0.02,1021,grecia,45,6,11,1452
sensibilidad_fiscal,etaTheta,0.02,1022,galia,200,5,9,3620
sensibilidad_fiscal,etaTheta,0.02,1023,cartago,30,2,11,1004
sensibilidad_fiscal,etaTheta,0.02,1024,grecia,200,118,10,0
sensibilidad_fiscal,etaTheta,0.02,1025,grecia,34,7,12,1526
sensibilidad_fiscal,etaTheta,0.02,1026,grecia,200,26,9,3183
sensibilidad_fiscal,etaTheta,0.02,1027,grecia,36,12,12,1524
sensibilidad_fiscal,etaTheta,0.02,1028,grecia,34,5,12,1464
sensibilidad_fiscal,etaTheta,0.02,1029,grecia,37,7,12,1574
sensibilidad_fiscal,etaTheta,0.02,1030,grecia,200,4,7,2718
sensibilidad_fiscal,etaTheta,0.02,1031,grecia,36,9,12,1796
sensibilidad_fiscal,etaTheta,0.02,1032,grecia,200,124,10,0
sensibilidad_fiscal,etaTheta,0.02,1033,cartago,200,457,7,0
sensibilidad_fiscal,etaTheta,0.02,1034,grecia,200,124,10,0
sensibilidad_fiscal,etaTheta,0.02,1035,grecia,34,5,11,1549
sensibilidad_fiscal,etaTheta,0.02,1036,grecia,37,5,11,1543
sensibilidad_fiscal,etaTheta,0.02,1037,grecia,200,478,10,0
sensibilidad_fiscal,etaTheta,0.02,1038,galia,200,320,10,0
sensibilidad_fiscal,etaTheta,0.02,1039,grecia,36,9,12,1770
sensibilidad_fiscal,etaTheta,0.02,1040,grecia,200,124,10,0
sensibilidad_fiscal,etaTheta,0.02,1041,grecia,200,133,10,0
sensibilidad_fiscal,etaTheta,0.02,1042,galia,200,6,9,3620
sensibilidad_fiscal,etaTheta,0.02,1043,grecia,200,25,9,3138
sensibilidad_fiscal,etaTheta,0.02,1044,galia,38,5,11,2226
sensibilidad_fiscal,etaTheta,0.02,1045,grecia,200,132,10,0
sensibilidad_fiscal,etaTheta,0.02,1046,grecia,34,5,12,1639
sensibilidad_fiscal,etaTheta,0.02,1047,grecia,34,5,12,1419
sensibilidad_fiscal,etaTheta,0.02,1048,grecia,36,12,12,1551
sensibilidad_fiscal,etaTheta,0.02,1049,galia,200,150,10,0
sensibilidad_fiscal,etaTheta,0.02,1050,cartago,30,2,11,1028
sensibilidad_fiscal,etaTheta,0.02,1051,galia,200,320,10,0
sensibilidad_fiscal,etaTheta,0.02,1052,grecia,200,112,10,0
sensibilidad_fiscal,etaTheta,0.02,1053,galia,200,6,9,3620
sensibilidad_fiscal,etaTheta,0.02,1054,grecia,200,478,10,0
sensibilidad_fiscal,etaTheta,0.02,1055,grecia,36,11,12,1531
sensibilidad_fiscal,etaTheta,0.02,1056,grecia,35,8,12,1725
sensibilidad_fiscal,etaTheta,0.02,1057,grecia,34,5,12,1453
sensibilidad_fiscal,etaTheta,0.02,1058,grecia,38,8,11,1598
sensibilidad_fiscal,etaTheta,0.02,1059,galia,33,8,11,2022
sensibilidad_fiscal,etaTheta,0.02,1060,grecia,200,481,9,0
sensibilidad_fiscal,etaTheta,0.02,1061,grecia,36,9,12,1808
sensibilidad_fiscal,etaTheta,0.02,1062,grecia,36,11,12,1462
sensibilidad_fiscal,etaTheta,0.02,1063,grecia,34,7,12,1384
sensibilidad_fiscal,etaTheta,0.02,1064,grecia,200,124,10,0
sensibilidad_fiscal,etaTheta,0.02,1065,grecia,36,10,12,1778
sensibilidad_fiscal,etaTheta,0.02,1066,grecia,37,14,12,1463
sensibilidad_fiscal,etaTheta,0.02,1067,grecia,33,6,11,1532
sensibilidad_fiscal,etaTheta,0.02,1068,grecia,36,9,12,1816
sensibilidad_fiscal,etaTheta,0.02,1069,grecia,200,477,10,0
sensibilidad_fiscal,etaTheta,0.02,1070,grecia,34,7,12,1426
sensibilidad_fiscal,etaTheta,0.02,1071,grecia,200,483,10,0
sensibilidad_fiscal,etaTheta,0.02,1072,cartago,200,464,5,0
sensibilidad_fiscal,etaTheta,0.02,1073,grecia,36,9,12,1805
sensibilidad_fiscal,etaTheta,0.02,1074,grecia,200,478,10,0
sensibilidad_fiscal,etaTheta,0.02,1075,galia,33,8,11,2013
sensibilidad_fiscal,etaTheta,0.02,1076,grecia,36,9,12,1789
sensibilidad_fiscal,etaTheta,0.02,1077,grecia,36,11,12,1801
sensibilidad_fiscal,etaTheta,0.02,1078,grecia,200,478,10,0
sensibilidad_fiscal,etaTheta,0.02,1079,grecia,37,8,12,1708
sensibilidad_fiscal,etaTheta,0.02,1080,grecia,35,9,12,1415
sensibilidad_fiscal,etaTheta,0.02,1081,grecia,38,5,12,1545
sensibilidad_fiscal,etaTheta,0.02,1082,grecia,45,7,11,1656
sensibilidad_fiscal,etaTheta,0.02,1083,grecia,200,112,10,0
sensibilidad_fiscal,etaTheta,0.02,1084,grecia,36,9,12,1837
sensibilidad_fiscal,etaTheta,0.02,1085,galia,200,9,9,3612
sensibilidad_fiscal,etaTheta,0.02,1086,grecia,37,8,12,1522
sensibilidad_fiscal,etaTheta,0.02,1087,grecia,37,8,12,1412
sensibilidad_fiscal,etaTheta,0.02,1088,grecia,35,8,12,1758
sensibilidad_fiscal,etaTheta,0.02,1089,grecia,37,8,12,1562
sensibilidad_fiscal,etaTheta,0.02,1090,grecia,35,9,12,1911
sensibilidad_fiscal,etaTheta,0.02,1091,grecia,38,8,11,1653
sensibilidad_fiscal,etaTheta,0.02,1092,grecia,200,478,10,0
sensibilidad_fiscal,etaTheta,0.02,1093,grecia,34,7,12,1719
sensibilidad_fiscal,etaTheta,0.02,1094,grecia,36,11,12,1472
sensibilidad_fiscal,etaTheta,0.02,1095,grecia,34,5,12,1466
sensibilidad_fiscal,etaTheta,0.02,1096,grecia,200,26,9,3127
sensibilidad_fiscal,etaTheta,0.02,1097,galia,200,143,10,0
sensibilidad_fiscal,etaTheta,0.02,1098,grecia,200,124,10,0
sensibilidad_fiscal,etaTheta,0.02,1099,grecia,200,118,10,0
sensibilidad_fiscal,etaTheta,0.04,1000,grecia,200,491,10,0
sensibilidad_fiscal,etaTheta,0.04,1001,grecia,23,3,11,1288
sensibilidad_fiscal,etaTheta,0.04,1002,grecia,25,5,12,1533
sensibilidad_fiscal,etaTheta,0.04,1003,galia,200,309,9,0
sensibilidad_fiscal,etaTheta,0.04,1004,grecia,26,7,11,1434
sensibilidad_fiscal,etaTheta,0.04,1005,grecia,27,8,12,1631
sensibilidad_fiscal,etaTheta,0.04,1006,grecia,27,8,12,1630
sensibilidad_fiscal,etaTheta,0.04,1007,galia,200,297,9,0
sensibilidad_fiscal,etaTheta,0.04,1008,grecia,25,5,12,1535
sensibilidad_fiscal,etaTheta,0.04,1009,grecia,23,3,11,1295
sensibilidad_fiscal,etaTheta,0.04,1010,grecia,25,4,12,1536
sensibilidad_fiscal,etaTheta,0.04,1011,grecia,27,9,12,1639
sensibilidad_fiscal,etaTheta,0.04,1012,grecia,27,8,12,1629
sensibilidad_fiscal,etaTheta,0.04,1013,grecia,25,5,12,1537
sensibilidad_fiscal,etaTheta,0.04,1014,galia,23,5,11,1528
sensibilidad_fiscal,etaTheta,0.04,1015,grecia,200,472,9,0
sensibilidad_fiscal,etaTheta,0.04,1016,grecia,27,8,12,1628
sensibilidad_fiscal,etaTheta,0.04,1017,grecia,25,5,12,1528
sensibilidad_fiscal,etaTheta,0.04,1018,grecia,25,5,12,1538
sensibilidad_fiscal,etaTheta,0.04,1019,grecia,27,8,12,1626
sensibilidad_fiscal,etaTheta,0.04,1020,grecia,23,3,11,1324
sensibilidad_fiscal,etaTheta,0.04,1021,grecia,27,8,12,1638
sensibilidad_fiscal,etaTheta,0.04,1022,grecia,27,9,12,1638
sensibilidad_fiscal,etaTheta,0.04,1023,grecia,26,7,11,1438
sensibilidad_fiscal,etaTheta,0.04,1024,grecia,27,8,12,1639
sensibilidad_fiscal,etaTheta,0.04,1025,grecia,25,5,12,1533
sensibilidad_fiscal,etaTheta,0.04,1026,grecia,27,8,12,1626
sensibilidad_fiscal,etaTheta,0.04,1027,grecia,23,3,11,1300
sensibilidad_fiscal,etaTheta,0.04,1028,grecia,25,5,12,1539
sensibilidad_fiscal,etaTheta,0.04,1029,grecia,23,3,11,1309
sensibilidad_fiscal,etaTheta,0.04,1030,galia,200,291,9,0
sensibilidad_fiscal,etaTheta,0.04,1031,grecia,27,9,12,1636
sensibilidad_fiscal,etaTheta,0.04,1032,grecia,200,472,9,0
sensibilidad_fiscal,etaTheta,0.04,1033,grecia,27,8,12,1632
sensibilidad_fiscal,etaTheta,0.04,1034,grecia,27,9,12,1639
sensibilidad_fiscal,etaTheta,0.04,1035,grecia,27,8,12,1638
sensibilidad_fiscal,etaTheta,0.04,1036,grecia,27,8,12,1640
sensibilidad_fiscal,etaTheta,0.04,1037,grecia,25,5,12,1539
sensibilidad_fiscal,etaTheta,0.04,1038,grecia,23,3,11,1244
sensibilidad_fiscal,etaTheta,0.04,1039,grecia,23,3,11,1318
sensibilidad_fiscal,etaTheta,0.04,1040,grecia,27,9,12,1635
sensibilidad_fiscal,etaTheta,0.04,1041,grecia,23,3,11,1318
sensibilidad_fiscal,etaTheta,0.04,1042,grecia,27,8,12,1637
sensibilidad_fiscal,etaTheta,0.04,1043,grecia,200,472,9,0
sensibilidad_fiscal,etaTheta,0.04,1044,galia,200,297,9,0
sensibilidad_fiscal,etaTheta,0.04,1045,grecia,27,8,12,1641
sensibilidad_fiscal,etaTheta,0.04,1046,grecia,25,5,12,1539
sensibilidad_fiscal,etaTheta,0.04,1047,grecia,25,5,12,1535
sensibilidad_fiscal,etaTheta,0.04,1048,grecia,23,3,11,1309
sensibilidad_fiscal,etaTheta,0.04,1049,grecia,25,5,12,1536
sensibilidad_fiscal,etaTheta,0.04,1050,grecia,200,472,9,0
sensibilidad_fiscal,etaTheta,0.04,1051,grecia,27,9,12,1640
sensibilidad_fiscal,etaTheta,0.04,1052,galia,23,5,11,1528
sensibilidad_fiscal,etaTheta,0.04,1053,grecia,23,3,11,1321
sensibilidad_fiscal,etaTheta,0.04,1054,grecia,200,472,9,0
sensibilidad_fiscal,etaTheta,0.04,1055,grecia,200,472,9,0
sensibilidad_fiscal,etaTheta,0.04,1056,grecia,27,8,12,1635
sensibilidad_fiscal,etaTheta,0.04,1057,grecia,27,8,12,1629
sensibilidad_fiscal,etaTheta,0.04,1058,grecia,27,8,12,1638
sensibilidad_fiscal,etaTheta,0.04,1059,galia,200,291,9,0
sensibilidad_fiscal,etaTheta,0.04,1060,grecia,27,8,12,1636
sensibilidad_fiscal,etaTheta,0.04,1061,grecia,27,8,12,1633
sensibilidad_fiscal,etaTheta,0.04,1062,grecia,27,8,12,1630
sensibilidad_fiscal,etaTheta,0.04,1063,grecia,23,3,11,1285
sensibilidad_fiscal,etaTheta,0.04,1064,grecia,23,3,11,1315
sensibilidad_fiscal,etaTheta,0.04,1065,grecia,25,5,12,1538
sensibilidad_fiscal,etaTheta,0.04,1066,grecia,27,8,12,1629
sensibilidad_fiscal,etaTheta,0.04,1067,grecia,27,9,12,1638
sensibilidad_fiscal,etaTheta,0.04,1068,grecia,27,8,12,1634
sensibilidad_fiscal,etaTheta,0.04,1069,grecia,27,6,13,1673
sensibilidad_fiscal,etaTheta,0.04,1070,grecia,23,3,11,1273
